2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:18:21,522 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:22,083 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:23,616 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:23,785 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:24,806 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:25,314 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:25,827 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:34,382 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:37,489 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:38,007 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:38,528 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:45,194 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:45,723 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:46,236 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:46,746 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:47,260 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:48,275 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:48,785 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:49,294 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:18:50,846 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
